text,sentiment,score
Этот сервис просто отличный,positive,2
Мне очень понравился этот продукт,positive,2
Замечательное качество и быстрая доставка,positive,2
Очень хороший магазин,positive,1
Я доволен покупкой,positive,1
Прекрасный сервис и поддержка,positive,2
Очень удобное приложение,positive,1
Все работает идеально,positive,2
Отличная работа разработчиков,positive,2
Я люблю этот сервис,positive,2
Сервис работает нормально,neutral,0
В целом неплохо,neutral,0
Продукт обычный,neutral,0
Работает как и ожидалось,neutral,0
Нормальный результат,neutral,0
Среднее качество,neutral,0
Ничего особенного,neutral,0
Можно пользоваться,neutral,0
Иногда работает медленно,negative,-1
В целом нормально,neutral,0
Очень плохой сервис,negative,-1
Это был ужасный опыт,negative,-2
Приложение работает отвратительно,negative,-2
Я крайне недоволен,neutral,0
Поддержка совершенно не помогает,neutral,0
Ужасное качество продукта,negative,-2
Очень разочарован покупкой,negative,-2
Все работает плохо,negative,-1
Это худший сервис,negative,-1
Я ненавижу это приложение,negative,-2
